cid,avg_pred,avg_pred,avg_pred,avg_pred,avg_pred,CompRate_ylog,avg_pred_fin,abs_err,outlier
105-59-9,-0.11725370168795485,-0.1583248780019126,-0.12455633711161682,-0.1267316195675111,-0.16152428361888815,-0.4162624643965059,-0.1376781639975767,0.2785843003989292,
693288-48-1,-0.5817058682441711,-0.5876586271442086,-0.5948095480842928,-0.5998584881779438,-0.5836032032966614,-0.6667088191905327,-0.5895271469894555,0.07718167220107719,
1009-65-0,-0.1972377678694098,-0.14049120792429276,-0.12503948644878177,-0.18527183682777387,-0.13787007331848145,-0.0729228226089511,-0.15718207447774793,0.08425925186879683,
118870-35-2,-0.4739244282245636,-0.47616001840462163,-0.46148979663848877,-0.44451388716697693,-0.5132450335448695,-0.5716424700225239,-0.4738666327959041,0.09777583722661981,
25727-94-0,0.031626978967224065,0.08436316586340152,0.043790693710686134,0.06162327144591659,0.04579914866078853,0.1559616303052987,0.05344065172960337,0.10252097857569532,
437999-32-1,-0.41154642096478494,-0.33563622108121915,-0.30920836329460144,-0.32790446281433105,-0.38491522666237277,-0.3176594505753403,-0.3538421389634619,0.03618268838812161,
3018-41-5,-0.32412285547109565,-0.29756972193717957,-0.19841307273630543,-0.3040867042730974,-0.2723252783042036,-0.3865082017507003,-0.27930352654437635,0.10720467520632393,
5842-09-1,-0.533653186242898,-0.5089269395241718,-0.5527471552182266,-0.48597762273250283,-0.5794479215461388,-0.4789565370016035,-0.5321505650527876,0.05319402805118406,
254448-29-8,-0.17451756989067518,-0.2177545677667294,-0.21687923987031615,-0.21308641100288633,-0.19903234791473143,-0.0922527730979815,-0.2042540272890677,0.1120012541910862,
55675-72-4,-0.22108059772561386,-0.16007784543045472,-0.2066051489503814,-0.2236622196969421,-0.20583744411984217,-0.1772038807593889,-0.2034526511846469,0.026248770425258,
61168-09-0,-0.5757960677146912,-0.5404101610183716,-0.5934292674064636,-0.5631434321403503,-0.6104283311522958,-0.6265217766739151,-0.5766414518864345,0.04988032478748061,
854652-99-6,-0.3653540687484669,-0.3850669264793396,-0.4115836434486216,-0.3918820067796692,-0.3547407099640589,-0.2691072750355242,-0.38172547108403126,0.11261819604850709,
90652-41-8,-0.4005153220766195,-0.31481584035118304,-0.3189096748828888,-0.25841817459197103,-0.3761795014160984,-0.4407564412046088,-0.33376770266375216,0.10698873854085661,
629165-64-6,-0.44535464224256216,-0.48005685575055546,-0.5032906606510997,-0.4714560521546392,-0.5010808706283569,-0.5469746444594195,-0.48024781628544266,0.0667268281739768,
1920-46-3,-0.4621698958256284,-0.49847342282126805,-0.48858263175712924,-0.4759115075858967,-0.48051305773153385,-0.3917571339736807,-0.4811301031442913,0.08937296917061055,
10295-91-7,-0.3971631814126482,-0.37645622408196,-0.41952324907159066,-0.4442685080625828,-0.4217957065382537,-0.359430134808551,-0.4118413738334071,0.05241123902485606,
86375-49-7,-0.2801234082603759,-0.31145432413454327,-0.3344812370999271,-0.2555668391006725,-0.3023854087707798,-0.6283321069574483,-0.2968022434732597,0.33152986348418867,1.0
46321-78-2,-0.2715826704492315,-0.2929729431374104,-0.20962121696187191,-0.21726416796445847,-0.22515862624589464,-0.2309516099098564,-0.24331992495177338,0.012368315041916988,
55972-87-7,-0.3073436878504292,-0.25576701760292053,-0.308677724335381,-0.3196251962599552,-0.25467597603453185,-0.1877616294354662,-0.28921792041664357,0.10145629098117737,
14548-72-2,-0.47182565927505493,-0.4365609597067146,-0.44667626143461775,-0.3976683058036582,-0.4043182293878324,-0.1683108395664457,-0.4314098831215755,0.2630990435551298,
857384-40-8,-0.6344990134239197,-0.6580335659254047,-0.6552436609726143,-0.6472313702106476,-0.668176668799843,-0.7847700608712493,-0.6526368558664859,0.13213320500476344,
4223-94-3,-0.3524171056882933,-0.3030374348163605,-0.35700585632307674,-0.3801230705801557,-0.3205159331175448,-0.6743548375662175,-0.34261988010508626,0.33173495746113124,1.0
71002-70-5,-0.05638217436744048,-0.1096409410238266,-0.09720062796159994,-0.08494722860699368,-0.11162834527261874,-0.0579481399059864,-0.09195986344649588,0.034011723540509485,
90854-88-9,-0.456287576747964,-0.518269693383032,-0.47764351506924235,-0.5017945486589872,-0.5348362372193889,-0.767755210350509,-0.49776631421572287,0.2699888961347861,
6039-36-7,-0.48676939433698496,-0.508366179398595,-0.4742719042483172,-0.48960840818132734,-0.5689644813537598,-0.8233879851337714,-0.5055960735037969,0.31779191162997455,1.0
