cid,avg_pred,avg_pred,avg_pred,avg_pred,avg_pred,dG_MD_ylog,avg_pred_fin,abs_err,outlier
121-93-7,-1.7518835838894014,-1.7590368243931909,-1.7665761482605602,-1.7595464856834124,-1.7567870687982095,-1.7625929157110964,-1.7587660222049546,0.0038268935061418485,
2160-93-2,-1.776440348788741,-1.7763159354848292,-1.7771768607978502,-1.778282251122145,-1.7742992528452235,-1.788566978430303,-1.776502929807758,0.012064048622545176,
623-57-4,-1.776551031113526,-1.7792009870875711,-1.7755061388015747,-1.7710044913197498,-1.7768585357534015,-1.7517375674373492,-1.7758242368151649,0.024086669377815673,
621-56-7,-1.772839433756984,-1.7737855120700499,-1.7749422249216238,-1.7730663575773895,-1.776268410532175,-1.828319278635803,-1.7741803877716447,0.05413889086415824,1.0
102-71-6,-1.70770519736576,-1.701855950071744,-1.7014694390492549,-1.7097074261994734,-1.709795435309148,-1.7071004845260922,-1.7061066895990762,0.0009937949270160118,
2955-88-6,-1.790268284086794,-1.7950563986762926,-1.793840806310297,-1.7943170270806665,-1.7953980622979242,-1.8013355451337636,-1.7937761156903949,0.007559429443368737,
85391-19-1,-1.8093069791793823,-1.8065800851495837,-1.8051804304122925,-1.8097030520439148,-1.8060554740617847,-1.769893048965917,-1.8073652041693915,0.037472155203474466,
3040-44-6,-1.7967822520716041,-1.8044854492654758,-1.7965336831733616,-1.7949289640322537,-1.7975668579670852,-1.7970978912538107,-1.798059441301956,0.0009615500481452433,
4847-93-2,-1.7898326829422626,-1.7895895527673067,-1.8028806127211296,-1.7907940411599754,-1.7948292748128045,-1.821254236360875,-1.7935852328806958,0.0276690034801792,
533-15-3,-1.807070953950642,-1.8036470781524718,-1.811070659217076,-1.8109471828238226,-1.8086019255809203,-1.82196941347484,-1.8082675599449864,0.013701853529853647,
3554-74-3,-1.7528009982688435,-1.7471073387981293,-1.762999188481408,-1.7506061792373657,-1.7493458143156184,-1.7442942915599902,-1.752571903820273,0.008277612260282785,
13444-24-1,-1.801313042640686,-1.8015234893210024,-1.8021496836550641,-1.8012785126395836,-1.7963559530783306,-1.7399904731097933,-1.8005241362669335,0.06053366315714026,1.0
105-59-9,-1.7152820636886401,-1.7131829305150386,-1.7117044988990004,-1.7143039429867617,-1.718664288520813,-1.7581301593575298,-1.7146275449220507,0.04350261443547909,
693288-48-1,-1.8144137859344482,-1.8158201608455058,-1.8171252012252808,-1.8175982628327918,-1.8158035994399677,-1.8326873888153024,-1.8161522020555991,0.016535186759703224,
1009-65-0,-1.7307897610713439,-1.7163177728652954,-1.715225980309247,-1.7244147150685876,-1.7149967620814097,-1.7057317735857562,-1.7203489982791766,0.014617224693420416,
118870-35-2,-1.7750330360059992,-1.7754766865510487,-1.7756686375356798,-1.7758943095930004,-1.775991977593924,-1.78907665783893,-1.7756129294559304,0.013463728382999696,
25727-94-0,-1.6724875686401433,-1.6474504470825195,-1.6472181677818298,-1.642282247543335,-1.6449474096298218,-1.647909927708955,-1.6508771681355299,0.002967240426574813,
437999-32-1,-1.7675579468968443,-1.7577663345556997,-1.751778697894745,-1.756443738937378,-1.762659346498415,-1.756233351860964,-1.7592412129566164,0.00300786109565232,
3018-41-5,-1.7569196224212646,-1.7390946779043914,-1.7354954317617777,-1.745464654024081,-1.7445933583982236,-1.7537207343848966,-1.7443135489019475,0.009407185482949165,
5842-09-1,-1.8039527515797282,-1.8002779483795166,-1.8101991891829856,-1.7991005210394548,-1.8090976839785524,-1.7979646475691702,-1.8045256188320473,0.0065609712628771355,
254448-29-8,-1.7312171690771059,-1.7340628123927777,-1.730449140071869,-1.7351311660172177,-1.729811928189339,-1.7197822158953422,-1.732134443149662,0.012352227254319725,
55675-72-4,-1.7345613437774312,-1.724832534790039,-1.7273923075944224,-1.728194236755371,-1.724560271931055,-1.7176288237909578,-1.727908138969664,0.010279315178706172,
61168-09-0,-1.7861426600352597,-1.7910501857173218,-1.7905132540800257,-1.787936495992677,-1.7949105379122647,-1.800825027106365,-1.79011062674751,0.01071440035885507,
854652-99-6,-1.7641054822706277,-1.76322408765818,-1.767163991921735,-1.76183076221931,-1.7574268579483032,-1.7489796863964786,-1.762750236403631,0.013770550007152327,
90652-41-8,-1.7691452503204346,-1.7589221632527945,-1.7594423559292696,-1.75080299580749,-1.7624179124832153,-1.775003434514598,-1.760146135558641,0.014857298955956999,
