cid,std_smiles,CompRate_ylog,dG_MD_ylog,MolWeight,nbAtoms,nbHeavyAtoms,nbRing,nbRotBd,nbHBdAcc,ndHBdDon,TopoPolSurfAir,MolarRefract,CombDipolPolariz,LogP_pred,MP_pred,BP_pred,LogVP_pred,LogWS_pred,LogHL_pred,RT_pred,LogKOA_pred,ionization,pKa_b_pred,LogD55_pred,LogD74_pred,LogOH_pred,nbNring,pKa_b_pred_divN,pKa_b_pred_multN,frac_OS_N,pKa_b_pred_div_O_S,frac_N,frac_OS_atoms,frac_ring_N,frac_Nring_atoms,frac_ring_atoms,"(),(-),xC","(),(-),(-),(-),xN","(),(-),(-),xC","(),(-),xO",C,N,O,"(),(-),(-),(-),xC","(),(-),(-),(-),(-),xC","(),(-),(-),xO","(),(-),(-),xS",S,"(),(-),xS"
98956-90-2,OCCN(CCO)C1CCCC1,-0.5124689043504405,-1.7810063518518555,173.141578848,31.0,12.0,1.0,5.0,3.0,2.0,43.7,41.9203,0.996,0.928621377946662,29.0970347423774,256.944073840059,-3.60196441624874,0.811503996442024,-8.52564711131235,4.44605230036409,7.83923151442632,1.0,9.40956487436884,-2.98099697658201,-1.08517119361468,-10.4420838020715,0,9.40956487436884,9.40956487436884,2.0,18.81912974873768,0.032258064516129,0.064516129032258,0.0,0.0,0.032258064516129,0.0,1.0,8.0,2.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
10353-86-3,CC(O)CN(CCO)CC(C)O,-0.0747843959719411,-1.709083075834251,177.136493468,31.0,12.0,0.0,6.0,4.0,3.0,63.93,48.0338,1.062,-0.845967597173148,25.303069381101,298.75181121108,-4.35571890951215,0.572037485983187,-10.4795380682793,0.0,7.89075875399057,1.0,8.49601812707115,-3.84242379789199,-1.97547560820545,-10.5576882080421,0,8.49601812707115,8.49601812707115,3.0,25.48805438121345,0.032258064516129,0.0967741935483871,0.0,0.0,0.0,2.0,1.0,4.0,3.0,8.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
21461-57-4,CCN(CCO)C1CCCCC1,-0.6832362928598952,-1.8191906684408303,171.162314292,33.0,12.0,1.0,4.0,2.0,1.0,23.47,42.8334,0.741,2.3269225472884,52.3334765334427,235.339185265432,-1.87761288486707,-0.869262337553142,-5.96489361669986,9.6010377462525,7.71622663353797,1.0,10.4332512222145,-2.60633373935592,-0.706730773029395,-10.4475951603902,0,10.4332512222145,10.4332512222145,1.0,10.4332512222145,0.0303030303030303,0.0303030303030303,0.0,0.0,0.0303030303030303,1.0,1.0,8.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6852-28-4,CCN(CC(C)O)CC(C)O,-0.404314822847473,-1.764308296568633,161.141578848,30.0,11.0,0.0,5.0,3.0,2.0,43.7,46.0353,0.807,0.587837145152978,18.443871967717,248.763363031124,-3.21741902308239,0.572210075317804,-8.52533145394045,3.29698017971959,7.61086989441542,1.0,9.06010015250733,-2.97238257794433,-1.0816597496425,-10.4061056068654,0,9.06010015250733,9.06010015250733,2.0,18.12020030501466,0.0333333333333333,0.0666666666666666,0.0,0.0,0.0,3.0,1.0,3.0,2.0,8.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
14002-34-7,OCCCN(CCCO)CCCO,-0.2994841174838772,-1.75230152140174,191.152143532,34.0,13.0,0.0,9.0,4.0,3.0,63.93,47.5998,1.341,0.595852737726569,21.5498441398463,296.679609036554,-4.27838285720306,0.266240515160857,-7.37578404985277,4.55610137365175,8.31752995555869,1.0,9.20950426811017,-3.11373629950033,-1.22033396230517,-10.5854547905226,0,9.20950426811017,9.20950426811017,3.0,27.62851280433051,0.0294117647058823,0.088235294117647,0.0,0.0,0.0,0.0,1.0,9.0,3.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6712-98-7,CC(O)CN(CCO)CCO,-0.0085657988544415,-1.6961113584856002,163.120843404,28.0,11.0,0.0,6.0,4.0,3.0,63.93,43.4494,1.101,-0.939046937748629,32.9254765992144,305.019061739727,-4.45371589522548,0.583833191876852,-10.2367518471515,0.0,7.8901574333735,1.0,8.42704974953558,-3.86661011324383,-2.00509875190067,-10.4341048914953,0,8.42704974953558,8.42704974953558,3.0,25.28114924860674,0.0357142857142857,0.1071428571428571,0.0,0.0,0.0,1.0,1.0,5.0,3.0,7.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2109-66-2,CC(O)CN1CCOCC1,0.1062337365828474,-1.643512243390609,145.11027872,25.0,10.0,1.0,2.0,3.0,1.0,32.7,39.9393,0.926,0.278098070484274,37.4716938381431,207.315437761688,-2.02214117774957,0.869032732690436,-8.49248850209345,2.38799901575508,6.09792770008898,1.0,7.26484586834129,-1.4941478226841,0.0394086592292232,-10.3127748071616,1,7.26484586834129,7.26484586834129,2.0,14.52969173668258,0.04,0.08,1.0,1.0,0.04,1.0,1.0,5.0,1.0,7.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
6289-52-7,CCCCN(CCCC)CC(O)CO,-0.483319296262047,-1.786044607748404,203.18852904,39.0,14.0,0.0,9.0,3.0,2.0,43.7,53.7177,0.898,2.22547373001567,15.5310140191759,279.370150569595,-2.90541672787644,-0.696248327488084,-5.75693231093561,10.3456875666234,7.95953169386524,1.0,9.76446200514702,-2.03901189679576,-0.140860619795979,-10.6369425652873,0,9.76446200514702,9.76446200514702,2.0,19.52892401029404,0.0256410256410256,0.0512820512820512,0.0,0.0,0.0,2.0,1.0,8.0,2.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
115188-50-6,CN(CCO)CCOCCN(C)CCO,0.0469905483904769,-1.693510554917976,220.178692628,39.0,15.0,0.0,10.0,5.0,2.0,56.17,61.6353,1.318,-0.384869777453004,37.0979865776989,269.040549224318,-6.35448194490012,0.490828035784305,-8.68647499647285,1.56888663808724,8.07498215625062,1.0,8.81279838071905,-3.69787944882294,-1.81413932324267,-10.6328704201142,0,4.406399190359525,17.6255967614381,1.5,13.219197571078574,0.0512820512820512,0.0769230769230769,0.0,0.0,0.0,2.0,2.0,8.0,2.0,10.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
4711-14-2,OCCCCCCN1CCCCC1,-0.4939147800980981,-1.792333645594434,185.177964356,36.0,13.0,1.0,6.0,2.0,1.0,23.47,44.6926,0.847,2.31498028574036,61.5821794170009,238.631685733454,-3.33398600350654,-1.12141479115733,-5.38810767374541,10.5606671761272,8.5700618759453,1.0,10.2632264205642,-2.44825362607137,-0.548840783604175,-10.4338015397472,1,10.2632264205642,10.2632264205642,1.0,10.2632264205642,0.0277777777777777,0.0277777777777777,1.0,1.0,0.0277777777777777,0.0,1.0,11.0,1.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122-20-3,CC(O)CN(CC(C)O)CC(C)O,-0.3588396310653509,-1.758428922275634,191.152143532,34.0,13.0,0.0,6.0,4.0,3.0,63.93,52.6182,1.023,0.177282215684165,44.9577658153534,304.982528965778,-4.7619043365151,0.636576939474237,-10.1093915197284,1.05352874073274,7.8913985206685,1.0,8.90018632939618,-3.22307690091936,-1.33641932537249,-10.5863403400026,0,8.90018632939618,8.90018632939618,3.0,26.70055898818854,0.0294117647058823,0.088235294117647,0.0,0.0,0.0,3.0,1.0,3.0,3.0,9.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
59941-12-7,CCCCCC1CCCN1CCO,-0.3829471508185438,-1.760750719533497,185.177964356,36.0,13.0,1.0,6.0,2.0,1.0,23.47,46.3654,0.741,2.52809173972299,6.67660265718497,236.979214416338,-2.01458517864523,-1.48847409718628,-5.05245202072213,12.2489043134026,8.43485539730896,1.0,8.98113350103959,-0.953185171206818,0.935711788845255,-10.4522765861741,1,8.98113350103959,8.98113350103959,1.0,8.98113350103959,0.0277777777777777,0.0277777777777777,1.0,1.0,0.0277777777777777,1.0,1.0,9.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
64897-89-8,CC(C)CCN(CCO)CCO,-0.3668865284321932,-1.7603567387787298,175.157228912,33.0,12.0,0.0,7.0,3.0,2.0,43.7,48.7676,0.846,0.772183733273107,14.9911499499636,251.679257800127,-4.42138967588413,0.210628039431491,-8.52414355655853,6.0177923207787,7.84505089924902,1.0,9.13004404838149,-2.857962101418,-0.965872080473858,-10.5699798749674,0,9.13004404838149,9.13004404838149,2.0,18.26008809676298,0.0303030303030303,0.0606060606060606,0.0,0.0,0.0,2.0,1.0,6.0,2.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
40694-17-5,CN(CCO)CCCCCO,-0.3799625969837424,-1.7695283088207068,161.141578848,30.0,11.0,0.0,7.0,3.0,2.0,43.7,41.3075,0.952,0.506444455608926,0.671285011460921,256.782805830679,-2.90591916363972,0.820274892358271,-8.51811330697165,4.02153736721139,7.85780764368309,1.0,9.89815403910296,-3.89172694636712,-1.99308660771146,-10.4163172022065,0,9.89815403910296,9.89815403910296,2.0,19.79630807820592,0.0333333333333333,0.0666666666666666,0.0,0.0,0.0,1.0,1.0,7.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
102-81-8,CCCCN(CCO)CCCC,-0.5499573847544986,-1.7997725590656162,173.177964356,35.0,12.0,0.0,8.0,2.0,1.0,23.47,47.7552,0.63,2.64866915841502,-74.7118769306915,228.933371398075,-2.09425772622282,-1.63766452424532,-4.89674672652931,10.8692925849798,7.71481208647829,1.0,10.2004608586446,-2.051800356267,-0.152478736854152,-10.4342788632459,0,10.2004608586446,10.2004608586446,1.0,10.2004608586446,0.0285714285714285,0.0285714285714285,0.0,0.0,0.0,2.0,1.0,8.0,1.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2158-67-0,CN(CCCO)CCCO,-0.4865856702897043,-1.7768348555969322,147.125928784,27.0,10.0,0.0,6.0,3.0,2.0,43.7,38.3959,1.019,-0.119329097269685,-9.9680453069235,243.542127398538,-2.95438139367332,0.857961170537629,-7.24905564524174,2.01946955901437,7.70080698554288,1.0,9.31342500133155,-3.93282082934173,-2.03802302561873,-10.3980634996209,0,9.31342500133155,9.31342500133155,2.0,18.6268500026631,0.037037037037037,0.074074074074074,0.0,0.0,0.0,1.0,1.0,6.0,2.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5842-08-0,CCCCN(CCS)CCCC,-0.6909770136881372,-1.847295869234802,189.155120736,35.0,12.0,0.0,8.0,1.0,0.0,42.04,53.8822,1.093,3.03283515410573,-30.3675157989933,219.935026875657,-1.55024302251292,-2.60114386279209,-3.41676677091254,14.4625874601951,5.78023994330264,2.0,11.2417776746782,-2.70894330762956,-0.809005034297666,-10.4465145805968,0,11.2417776746782,11.2417776746782,1.0,11.2417776746782,0.0285714285714285,0.0285714285714285,0.0,0.0,0.0,2.0,1.0,8.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
19031-93-7,CCCN(CCS)CCS,-0.4120041691410336,-1.7809601992689088,179.080241544,27.0,10.0,0.0,6.0,1.0,0.0,80.84,52.6525,1.811,2.25638596148317,13.6361142878039,237.384128700393,-1.52531887291972,-1.6296451515004,-4.94022870382822,9.82125727361888,4.74591832685996,1.0,10.177936,2.25337254318285,2.06519400893233,-10.4523538966728,0,10.177936,10.177936,2.0,20.355872,0.037037037037037,0.074074074074074,0.0,0.0,0.0,1.0,1.0,6.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
91016-54-5,CC(CS)CN1CCCC1,-0.508850347540429,-1.7952967732226333,159.108170544,27.0,10.0,1.0,3.0,1.0,0.0,42.04,44.7969,1.204,1.71124638893662,29.716958361696,231.805920791769,-1.01431629424751,-1.25540563736423,-3.42457881865121,7.97159299331126,4.45104216038126,2.0,10.3550185125115,-3.14377818762475,-1.24425354461406,-10.464760299086,1,10.3550185125115,10.3550185125115,1.0,10.3550185125115,0.037037037037037,0.037037037037037,1.0,1.0,0.037037037037037,1.0,1.0,6.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
